"","TE_family","mean.div","mean.age","mean.Len","count","sd.Len","sum.Len","count.200"
"850","MLT2B3:ERVL:LTR",20.2821008149713,92.1913673407788,368.679142770903,3313,214.14317663485,1221434,2339
"851","MLT2B4:ERVL:LTR",18.7122520165686,85.0556909844026,276.679965118814,4587,182.452748059563,1269131,2671
"852","MLT2B5:ERVL:LTR",17.7927272727273,80.8760330578512,282.106060606061,330,259.89153271653,93095,137
"853","MLT2C1:ERVL:LTR",20.7858778625954,94.4812630117974,238.216030534351,2620,133.424604681051,624126,1543
"854","MLT2C2:ERVL:LTR",18.1758125472411,82.6173297601869,245.885109599395,1323,160.531653899396,325306,735
"855","MLT2D:ERVL:LTR",18.7219447513812,85.0997488699146,242.309392265193,4525,149.556336840735,1096450,2690
"856","MLT2E:ERVL:LTR",27.4135549872123,124.607068123692,238.406649616368,391,170.173021625058,93217,170
"857","MLT2F:ERVL:LTR",25.9476786645801,117.943993929909,319.877412623892,1917,204.014053243032,613205,1165
"858","MSR1:Satellite:Satellite",16.2844936708861,74.0204257767549,279.898734177215,316,260.963871242037,88448,146
"859","MST-int:ERVL-MaLR:LTR",20.5540389972145,93.4274499873386,379.178272980501,359,412.73451295698,136125,171
"860","MSTA-int:ERVL-MaLR:LTR",17.452168407724,79.3280382169271,939.947451725229,3159,611.038025866976,2969294,2698
"861","MSTA:ERVL-MaLR:LTR",14.8151198058841,67.3414536631097,316.170154686078,19782,123.448078971589,6254478,15462
"862","MSTB-int:ERVL-MaLR:LTR",18.3246294184721,83.2937700839639,944.690992018244,877,585.330103620301,828494,749
"863","MSTB:ERVL-MaLR:LTR",16.6415440317683,75.6433819625831,319.622634898389,8562,130.742504891755,2736609,6616
"864","MSTB1-int:ERVL-MaLR:LTR",21.1604651162791,96.183932346723,715.387596899225,258,541.805402631122,184570,198
"865","MSTB1:ERVL-MaLR:LTR",16.5103883303765,75.0472196835296,322.37394046915,5073,135.387808759984,1635403,3910
"866","MSTB2-int:ERVL-MaLR:LTR",23.2417582417582,105.644355644356,822.21978021978,91,604.439865627633,74822,73
"867","MSTB2:ERVL-MaLR:LTR",18.5077978789769,84.1263539953496,331.62507797879,1603,143.320105808657,531595,1225
"868","MSTC-int:ERVL-MaLR:LTR",24.3995073891626,110.906851768921,745.822660098522,203,549.594141953967,151402,167
"869","MSTC:ERVL-MaLR:LTR",16.0057115809404,72.7532344588198,284.869674976333,3169,141.40620349295,902752,2160
"870","MSTD-int:ERVL-MaLR:LTR",23.5605691056911,107.093495934959,759.112466124661,738,557.365989473335,560225,616
"871","MSTD:ERVL-MaLR:LTR",20.0968558382257,91.3493447192077,287.718590998043,7665,118.086957317986,2205363,5648
"872","ORSL-2a:hAT-Tip100:DNA",25.1516483516484,114.325674325674,197.373626373626,364,80.2595168582351,71844,177
"873","ORSL-2b:hAT-Tip100:DNA",24.4257342657343,111.026064844247,217.299300699301,715,134.455702980335,155369,314
"874","ORSL:hAT-Tip100:DNA",19.8429159802306,90.195072637412,164.619439868204,1214,77.9230822325191,199848,506
"875","PABL_A-int:ERV1:LTR",12.0676959619953,54.8531634636148,715.102137767221,421,827.087959000728,301058,283
"876","PABL_A:ERV1:LTR",9.32982791586998,42.4083087084999,475.776290630975,523,218.04006286766,248831,425
"877","PABL_B-int:ERV1:LTR",30.8708154506438,140.321888412017,807.077253218884,233,1017.69292123766,188049,175
"878","PABL_B:ERV1:LTR",19.1466843501326,87.0303834096938,378.042440318302,377,220.846084128472,142522,276
"879","Plat_L3:CR1:LINE",29.8081825546854,135.491738884934,158.445044558466,3703,106.835300123112,586722,970
"880","PRIMA4_LTR:ERV1:LTR",11.5494444444444,52.4974747474748,400.741666666667,360,199.966159915673,144267,279
"881","PRIMA4-int:ERV1:LTR",24.8222701149425,112.828500522466,503.237068965517,696,761.609433587158,350253,369
"882","PRIMA41-int:ERV1:LTR",22.0629545454545,100.286157024793,782.634090909091,440,965.474757916835,344359,321
"883","PRIMAX-int:ERV1:LTR",25.6,116.363636363636,600.903485254692,373,738.794361740419,224137,242
"884","PrimLTR79:ERV1:LTR",17.6709219858156,80.3223726627982,241.489361702128,141,157.43650044298,34050,62
"885","REP522:telo:Satellite",22.2532786885246,101.151266766021,712.684426229508,244,717.553613376183,173895,170
"886","Ricksha_0:MuDR:DNA",15.3851485148515,69.9324932493249,480.45297029703,404,447.490566063377,194103,241
"887","Ricksha_a:MuDR:DNA",16.6698412698413,75.7720057720058,369.761904761905,63,331.956794423695,23295,30
"888","Ricksha_b:MuDR:DNA",15.59,70.8636363636364,606.208333333333,120,408.608828489899,72745,96
"889","Ricksha_c:MuDR:DNA",16.5933764135703,75.4244382435013,241.511308562197,1238,334.08305637118,298991,424
"890","Ricksha:MuDR:DNA",15.4808383233533,70.3674469243332,694.958083832336,167,594.081485560241,116058,124
"891","SAR:Satellite:Satellite",10.8,49.0909090909091,4775,1,NA,4775,1
"892","SATR1:Satellite:Satellite",19.225,87.3863636363636,1696.21691176471,544,1585.20303781398,922742,509
"893","SATR2:Satellite:Satellite",18.3221374045802,83.2824427480916,1253.7213740458,262,1085.78878695915,328475,246
"894","SST1:centr:Satellite",27.5699346405229,125.317884729649,602.008169934643,612,513.701889897604,368429,480
"895","SUBTEL_sa:Satellite:Satellite",21.0970588235294,95.8957219251337,87.7352941176471,34,70.3068205767253,2983,2
"896","SVA_A:SVA_A:Other",7.52193308550186,34.1906049340994,1080.38661710037,269,561.834653904236,290624,249
"897","SVA_B:SVA_B:Other",4.89747899159664,22.2612681436211,1186.64915966387,476,439.120010954118,564845,455
"898","SVA_C:SVA_C:Other",4.15533333333333,18.8878787878788,1268.96,300,406.501039832145,380688,291
"899","SVA_D:SVA_D:Other",3.94877365101612,17.9489711409824,1326.47021723896,1427,536.928893229313,1892873,1360
"900","SVA_E:SVA_E:Other",5.32415254237288,24.2006933744222,1010.28813559322,236,576.632256449278,238428,199
"901","SVA_F:SVA_F:Other",8.34887804878049,37.949445676275,767.175609756098,1025,503.253305059165,786355,913
"902","TAR1:telo:Satellite",19.3981366459627,88.1733483907397,554.024844720497,161,512.031455946685,89198,119
