"","mark","family.group","functional.group","family.cluster","no.subfamilies.FG","subfamily.count_200bp.FG","intersect.count_200bp.FG","uniqueID.FG","pvalue","mean.value","sd.value","log2FC","perC"
"25792","ZNF439","G18","PG1","LTR25",27,780,0,"ZNF439 G18 PG1 LTR25",2,0.02,0.14070529413629,-0.028569152196771,0
"25793","ZNF439","G18","PG2","LTR25",4,415,0,"ZNF439 G18 PG2 LTR25",2,0,0,0,0
"25794","ZNF439","G18","PG3","LTR25",7,212,0,"ZNF439 G18 PG3 LTR25",2,0,0,0,0
"25795","ZNF439","G18","PG4","LTR25",4,109,0,"ZNF439 G18 PG4 LTR25",2,0,0,0,0
"25796","ZNF439","G18","PG5","LTR25",4,197,0,"ZNF439 G18 PG5 LTR25",2,0,0,0,0
"25797","ZNF439","G18","PG6","LTR25",5,112,0,"ZNF439 G18 PG6 LTR25",2,0,0,0,0
"25798","ZNF439","G18","PG7","LTR25",8,178,0,"ZNF439 G18 PG7 LTR25",2,0,0,0,0
"25799","ZNF439","G19","PG1","MER11D",2,72,0,"ZNF439 G19 PG1 MER11D",2,0,0,0,0
"25800","ZNF439","G19","PG2","MER11D",1,158,0,"ZNF439 G19 PG2 MER11D",2,0.01,0.1,-0.0143552929770701,0
"25801","ZNF439","G2","PG1","LTR5",3,91,0,"ZNF439 G2 PG1 LTR5",2,0,0,0,0
"25802","ZNF439","G2","PG2","LTR5",4,102,0,"ZNF439 G2 PG2 LTR5",2,0,0,0,0
"25803","ZNF439","G2","PG3","LTR5",1,68,0,"ZNF439 G2 PG3 LTR5",2,0,0,0,0
"25804","ZNF439","G2","PG4","LTR5",7,282,0,"ZNF439 G2 PG4 LTR5",2,0,0,0,0
"25805","ZNF439","G2","PG5","LTR5",13,360,0,"ZNF439 G2 PG5 LTR5",2,0,0,0,0
"25806","ZNF439","G2","PG6","LTR5",1,258,0,"ZNF439 G2 PG6 LTR5",2,0,0,0,0
"25807","ZNF439","G3","PG1","LTR6",6,71,0,"ZNF439 G3 PG1 LTR6",2,0,0,0,0
"25808","ZNF439","G3","PG2","LTR6",2,26,0,"ZNF439 G3 PG2 LTR6",2,0,0,0,0
"25809","ZNF439","G3","PG3","LTR6",1,54,0,"ZNF439 G3 PG3 LTR6",2,0,0,0,0
"25810","ZNF439","G3","PG4","LTR6",3,138,0,"ZNF439 G3 PG4 LTR6",2,0,0,0,0
"25811","ZNF439","G4","PG1","LTR2",13,758,0,"ZNF439 G4 PG1 LTR2",2,0.02,0.14070529413629,-0.028569152196771,0
"25812","ZNF439","G4","PG2","LTR2",2,51,0,"ZNF439 G4 PG2 LTR2",2,0,0,0,0
"25813","ZNF439","G4","PG3","LTR2",4,138,0,"ZNF439 G4 PG3 LTR2",2,0,0,0,0
"25814","ZNF439","G4","PG4","LTR2",5,272,0,"ZNF439 G4 PG4 LTR2",2,0,0,0,0
"25815","ZNF439","G5","PG1","MER11A",10,682,0,"ZNF439 G5 PG1 MER11A",2,0,0,0,0
"25816","ZNF439","G5","PG2","MER11A",8,165,0,"ZNF439 G5 PG2 MER11A",2,0,0,0,0
"25817","ZNF439","G5","PG3","MER11A",13,247,0,"ZNF439 G5 PG3 MER11A",2,0,0,0,0
"25818","ZNF439","G5","PG4","MER11A",32,986,0,"ZNF439 G5 PG4 MER11A",2,0.01,0.1,-0.0143552929770701,0
"25819","ZNF439","G6","PG1","LTR7",2,60,0,"ZNF439 G6 PG1 LTR7",2,0,0,0,0
"25820","ZNF439","G6","PG10","LTR7",2,143,0,"ZNF439 G6 PG10 LTR7",2,0,0,0,0
"25821","ZNF439","G6","PG11","LTR7",1,84,0,"ZNF439 G6 PG11 LTR7",2,0,0,0,0
"25822","ZNF439","G6","PG12","LTR7",4,620,0,"ZNF439 G6 PG12 LTR7",2,0,0,0,0
"25823","ZNF439","G6","PG2","LTR7",3,501,0,"ZNF439 G6 PG2 LTR7",2,0,0,0,0
"25824","ZNF439","G6","PG3","LTR7",3,133,0,"ZNF439 G6 PG3 LTR7",2,0,0,0,0
"25825","ZNF439","G6","PG4","LTR7",1,28,0,"ZNF439 G6 PG4 LTR7",2,0,0,0,0
"25826","ZNF439","G6","PG5","LTR7",2,24,0,"ZNF439 G6 PG5 LTR7",2,0,0,0,0
"25827","ZNF439","G6","PG6","LTR7",2,35,0,"ZNF439 G6 PG6 LTR7",2,0,0,0,0
"25828","ZNF439","G6","PG7","LTR7",1,47,0,"ZNF439 G6 PG7 LTR7",2,0,0,0,0
"25829","ZNF439","G6","PG8","LTR7",5,134,0,"ZNF439 G6 PG8 LTR7",2,0,0,0,0
