Order,Combination,ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU,rank,rooted_incstance_cluster,is_kept,Combination,final_tree
389,hg19_G4_v1,35,-3467.687823,7.505449246,0,0.021,0.068,0.00178639,1.55E-58,30,-,0,LTR2s,
390,hg19_G4_v1,34,-3467.84041,7.658036031,0,0.014,0.057,0.001417911,0.000240825,31,-,0,LTR2s,
391,hg19_G4_v1,20,-3467.962709,7.780335937,0.002,0.009,0.1,0.002887498,0.046557926,32,-,0,LTR2s,
392,hg19_G4_v1,43,-3468.083201,7.900827523,0,0.039,0.106,0.004376725,0.043797047,33,-,0,LTR2s,
393,hg19_G4_v1,45,-3468.140497,7.958123301,0.004,0.039,0.114,0.005350799,0.048617529,34,-,0,LTR2s,
394,hg19_G4_v1,44,-3468.140537,7.958163484,0.005,0.039,0.113,0.005349731,0.046135393,35,-,0,LTR2s,
395,hg19_G4_v1,19,-3468.379941,8.197567877,0,0.003,0.066,0.00125617,3.07E-79,36,-,0,LTR2s,
396,hg19_G4_v1,21,-3468.381171,8.198797187,0,0.003,0.065,0.001255929,9.46E-65,37,-,0,LTR2s,
397,hg19_G4_v1,16,-3472.272916,12.09054218,0,0,0.005,0.000113786,0.00056821,38,-,0,LTR2s,
398,hg19_G4_v1,9,-3472.680354,12.49798036,0,0,0.001,6.14E-05,0.003949068,39,-,0,LTR2s,
399,hg19_G4_v1,10,-3475.723507,15.54113351,0,0,0.002,1.02E-05,0.000113988,40,-,0,LTR2s,
400,hg19_G4_v1,15,-3475.928079,15.74570537,0,0,0.001,6.84E-06,0.000118089,41,-,0,LTR2s,
401,hg19_G4_v1,11,-3476.160021,15.97764785,0,0,0.002,1.45E-05,1.25E-07,42,-,0,LTR2s,
402,hg19_G4_v1,14,-3476.160111,15.97773781,0,0,0.002,1.44E-05,1.27E-07,43,-,0,LTR2s,
403,hg19_G4_v1,12,-3479.257076,19.0747023,0,0,0,1.45E-06,2.77E-64,44,-,0,LTR2s,
